# Table of offsets. Units: metres.
# x from transom, y half-breadth from centreline, z above baseline.
# Baseline z=0 is the lowest point of the canoe body.
       x   y_chine   z_chine   y_sheer   z_sheer    z_keel   z_crown
   0.000    0.8084    0.2665    1.0340    0.7600    0.0550    0.8150
   0.054    0.8143    0.2638    1.0407    0.7593    0.0515    0.8143
   0.108    0.8200    0.2612    1.0472    0.7587    0.0480    0.8137
   0.162    0.8257    0.2586    1.0536    0.7581    0.0445    0.8131
   0.216    0.8313    0.2561    1.0599    0.7576    0.0412    0.8126
   0.270    0.8367    0.2537    1.0661    0.7572    0.0379    0.8122
   0.324    0.8421    0.2514    1.0721    0.7568    0.0348    0.8118
   0.378    0.8473    0.2491    1.0780    0.7564    0.0317    0.8114
   0.432    0.8523    0.2470    1.0837    0.7561    0.0288    0.8111
   0.486    0.8573    0.2450    1.0892    0.7559    0.0261    0.8109
   0.540    0.8621    0.2431    1.0946    0.7557    0.0234    0.8107
   0.594    0.8668    0.2413    1.0997    0.7555    0.0210    0.8105
   0.648    0.8713    0.2397    1.1047    0.7553    0.0187    0.8103
   0.702    0.8756    0.2382    1.1094    0.7552    0.0166    0.8102
   0.756    0.8798    0.2369    1.1140    0.7551    0.0148    0.8101
   0.810    0.8838    0.2357    1.1183    0.7551    0.0131    0.8101
   0.864    0.8876    0.2347    1.1223    0.7550    0.0117    0.8100
   0.918    0.8912    0.2339    1.1262    0.7550    0.0105    0.8100
   0.972    0.8947    0.2332    1.1298    0.7550    0.0095    0.8100
   1.026    0.8983    0.2326    1.1335    0.7551    0.0086    0.8101
   1.080    0.9019    0.2320    1.1372    0.7553    0.0077    0.8103
   1.134    0.9056    0.2315    1.1409    0.7556    0.0069    0.8106
   1.188    0.9093    0.2310    1.1446    0.7559    0.0060    0.8109
   1.242    0.9129    0.2306    1.1483    0.7564    0.0052    0.8114
   1.296    0.9165    0.2302    1.1518    0.7569    0.0045    0.8119
   1.350    0.9200    0.2299    1.1553    0.7574    0.0038    0.8124
   1.404    0.9233    0.2296    1.1585    0.7581    0.0031    0.8131
   1.458    0.9264    0.2294    1.1616    0.7587    0.0025    0.8137
   1.512    0.9293    0.2292    1.1645    0.7594    0.0019    0.8144
   1.566    0.9319    0.2291    1.1671    0.7602    0.0015    0.8152
   1.620    0.9342    0.2290    1.1693    0.7609    0.0010    0.8159
   1.674    0.9362    0.2290    1.1713    0.7617    0.0007    0.8167
   1.728    0.9378    0.2290    1.1729    0.7625    0.0004    0.8175
   1.782    0.9390    0.2291    1.1740    0.7634    0.0002    0.8184
   1.836    0.9397    0.2293    1.1748    0.7642    0.0000    0.8192
   1.890    0.9400    0.2295    1.1750    0.7650    0.0000    0.8200
   1.944    0.9400    0.2298    1.1750    0.7659    0.0000    0.8209
   1.998    0.9399    0.2301    1.1750    0.7668    0.0001    0.8218
   2.052    0.9397    0.2305    1.1750    0.7679    0.0001    0.8229
   2.106    0.9394    0.2309    1.1750    0.7690    0.0003    0.8240
   2.160    0.9391    0.2313    1.1750    0.7702    0.0004    0.8252
   2.214    0.9387    0.2318    1.1750    0.7715    0.0006    0.8265
   2.268    0.9383    0.2324    1.1750    0.7729    0.0007    0.8279
   2.322    0.9378    0.2330    1.1750    0.7743    0.0010    0.8293
   2.376    0.9373    0.2336    1.1750    0.7758    0.0012    0.8308
   2.430    0.9367    0.2342    1.1750    0.7774    0.0015    0.8324
   2.484    0.9360    0.2349    1.1750    0.7789    0.0017    0.8339
   2.538    0.9353    0.2356    1.1750    0.7806    0.0020    0.8356
   2.592    0.9345    0.2363    1.1750    0.7822    0.0024    0.8372
   2.646    0.9337    0.2371    1.1750    0.7839    0.0027    0.8389
   2.700    0.9329    0.2378    1.1750    0.7856    0.0031    0.8406
   2.754    0.9320    0.2386    1.1750    0.7874    0.0034    0.8424
   2.808    0.9311    0.2394    1.1750    0.7891    0.0038    0.8441
   2.862    0.9300    0.2402    1.1749    0.7909    0.0042    0.8459
   2.916    0.9284    0.2412    1.1744    0.7927    0.0048    0.8477
   2.970    0.9262    0.2422    1.1733    0.7946    0.0055    0.8496
   3.024    0.9234    0.2434    1.1717    0.7966    0.0064    0.8516
   3.078    0.9200    0.2447    1.1696    0.7986    0.0074    0.8536
   3.132    0.9162    0.2461    1.1671    0.8007    0.0085    0.8557
   3.186    0.9119    0.2477    1.1642    0.8028    0.0098    0.8578
   3.240    0.9072    0.2493    1.1610    0.8050    0.0112    0.8600
   3.294    0.9021    0.2510    1.1574    0.8073    0.0126    0.8623
   3.348    0.8967    0.2529    1.1535    0.8096    0.0143    0.8646
   3.402    0.8910    0.2548    1.1494    0.8120    0.0160    0.8670
   3.456    0.8850    0.2567    1.1451    0.8144    0.0177    0.8694
   3.510    0.8788    0.2588    1.1405    0.8169    0.0196    0.8719
   3.564    0.8724    0.2609    1.1358    0.8194    0.0216    0.8744
   3.618    0.8659    0.2631    1.1310    0.8220    0.0236    0.8770
   3.672    0.8593    0.2654    1.1261    0.8246    0.0257    0.8796
   3.726    0.8527    0.2677    1.1212    0.8273    0.0278    0.8823
   3.780    0.8460    0.2700    1.1162    0.8300    0.0300    0.8850
   3.834    0.8390    0.2725    1.1110    0.8328    0.0323    0.8878
   3.888    0.8314    0.2752    1.1051    0.8357    0.0349    0.8907
   3.942    0.8232    0.2781    1.0986    0.8387    0.0378    0.8937
   3.996    0.8145    0.2812    1.0916    0.8418    0.0409    0.8968
   4.050    0.8052    0.2845    1.0840    0.8450    0.0442    0.9000
   4.104    0.7955    0.2880    1.0758    0.8483    0.0478    0.9033
   4.158    0.7852    0.2916    1.0672    0.8516    0.0516    0.9066
   4.212    0.7746    0.2955    1.0581    0.8551    0.0557    0.9101
   4.266    0.7635    0.2995    1.0485    0.8585    0.0600    0.9135
   4.320    0.7521    0.3038    1.0385    0.8621    0.0645    0.9171
   4.374    0.7404    0.3082    1.0280    0.8657    0.0692    0.9207
   4.428    0.7283    0.3127    1.0172    0.8693    0.0742    0.9243
   4.482    0.7160    0.3174    1.0060    0.8730    0.0793    0.9280
   4.536    0.7034    0.3223    0.9945    0.8768    0.0847    0.9318
   4.590    0.6907    0.3273    0.9826    0.8805    0.0902    0.9355
   4.644    0.6777    0.3325    0.9705    0.8843    0.0960    0.9393
   4.698    0.6646    0.3378    0.9581    0.8881    0.1020    0.9431
   4.752    0.6513    0.3433    0.9453    0.8919    0.1081    0.9469
   4.806    0.6378    0.3491    0.9322    0.8958    0.1149    0.9508
   4.860    0.6238    0.3554    0.9184    0.8997    0.1222    0.9547
   4.914    0.6094    0.3621    0.9040    0.9036    0.1301    0.9586
   4.968    0.5946    0.3693    0.8890    0.9076    0.1386    0.9626
   5.022    0.5794    0.3768    0.8732    0.9116    0.1476    0.9666
   5.076    0.5637    0.3847    0.8567    0.9157    0.1571    0.9707
   5.130    0.5476    0.3930    0.8394    0.9199    0.1672    0.9749
   5.184    0.5309    0.4017    0.8212    0.9241    0.1778    0.9791
   5.238    0.5138    0.4107    0.8021    0.9284    0.1889    0.9834
   5.292    0.4962    0.4202    0.7821    0.9327    0.2005    0.9877
   5.346    0.4781    0.4300    0.7611    0.9371    0.2126    0.9921
   5.400    0.4594    0.4401    0.7390    0.9416    0.2252    0.9966
   5.454    0.4401    0.4506    0.7158    0.9461    0.2383    1.0011
   5.508    0.4203    0.4615    0.6914    0.9507    0.2518    1.0057
   5.562    0.3999    0.4726    0.6659    0.9554    0.2658    1.0104
   5.616    0.3788    0.4842    0.6391    0.9602    0.2802    1.0152
   5.670    0.3572    0.4960    0.6110    0.9650    0.2950    1.0200
   5.724    0.3345    0.5086    0.5798    0.9700    0.3109    1.0250
   5.778    0.3102    0.5225    0.5440    0.9751    0.3286    1.0301
   5.832    0.2846    0.5375    0.5039    0.9803    0.3477    1.0353
   5.886    0.2576    0.5535    0.4599    0.9856    0.3683    1.0406
   5.940    0.2295    0.5705    0.4125    0.9911    0.3902    1.0461
   5.994    0.2002    0.5883    0.3620    0.9967    0.4133    1.0517
   6.048    0.1700    0.6069    0.3087    1.0024    0.4374    1.0574
   6.102    0.1389    0.6262    0.2531    1.0081    0.4625    1.0631
   6.156    0.1070    0.6460    0.1955    1.0140    0.4883    1.0690
   6.210    0.0744    0.6663    0.1363    1.0199    0.5148    1.0749
   6.264    0.0412    0.6870    0.0760    1.0260    0.5418    1.0810
   6.318    0.0188    0.7010    0.0352    1.0300    0.5600    1.0850
   6.372    0.0188    0.7010    0.0352    1.0300    0.5600    1.0850
   6.426    0.0188    0.7010    0.0352    1.0300    0.5600    1.0850
   6.480    0.0188    0.7010    0.0352    1.0300    0.5600    1.0850
