# Table of offsets. Units: metres.
# x from transom, y half-breadth from centreline, z above baseline.
# Baseline z=0 is the lowest point of the canoe body.
       x   y_chine   z_chine   y_sheer   z_sheer    z_keel   z_crown
   0.000    0.6192    0.2665    0.7920    0.7600    0.0550    0.8150
   0.054    0.6237    0.2638    0.7971    0.7593    0.0515    0.8143
   0.108    0.6281    0.2612    0.8021    0.7587    0.0480    0.8137
   0.162    0.6325    0.2586    0.8070    0.7581    0.0445    0.8131
   0.216    0.6367    0.2561    0.8119    0.7576    0.0412    0.8126
   0.270    0.6409    0.2537    0.8166    0.7572    0.0379    0.8122
   0.324    0.6450    0.2514    0.8212    0.7568    0.0348    0.8118
   0.378    0.6490    0.2491    0.8257    0.7564    0.0317    0.8114
   0.432    0.6529    0.2470    0.8301    0.7561    0.0288    0.8111
   0.486    0.6567    0.2450    0.8343    0.7559    0.0261    0.8109
   0.540    0.6603    0.2431    0.8384    0.7557    0.0234    0.8107
   0.594    0.6639    0.2413    0.8423    0.7555    0.0210    0.8105
   0.648    0.6673    0.2397    0.8461    0.7553    0.0187    0.8103
   0.702    0.6707    0.2382    0.8498    0.7552    0.0166    0.8102
   0.756    0.6739    0.2369    0.8532    0.7551    0.0148    0.8101
   0.810    0.6769    0.2357    0.8565    0.7551    0.0131    0.8101
   0.864    0.6799    0.2347    0.8597    0.7550    0.0117    0.8100
   0.918    0.6827    0.2339    0.8626    0.7550    0.0105    0.8100
   0.972    0.6853    0.2332    0.8654    0.7550    0.0095    0.8100
   1.026    0.6881    0.2326    0.8682    0.7551    0.0086    0.8101
   1.080    0.6909    0.2320    0.8710    0.7553    0.0077    0.8103
   1.134    0.6937    0.2315    0.8739    0.7556    0.0069    0.8106
   1.188    0.6965    0.2310    0.8767    0.7559    0.0060    0.8109
   1.242    0.6993    0.2306    0.8795    0.7564    0.0052    0.8114
   1.296    0.7020    0.2302    0.8823    0.7569    0.0045    0.8119
   1.350    0.7046    0.2299    0.8849    0.7574    0.0038    0.8124
   1.404    0.7072    0.2296    0.8874    0.7581    0.0031    0.8131
   1.458    0.7096    0.2294    0.8898    0.7587    0.0025    0.8137
   1.512    0.7118    0.2292    0.8919    0.7594    0.0019    0.8144
   1.566    0.7138    0.2291    0.8939    0.7602    0.0015    0.8152
   1.620    0.7156    0.2290    0.8957    0.7609    0.0010    0.8159
   1.674    0.7171    0.2290    0.8972    0.7617    0.0007    0.8167
   1.728    0.7183    0.2290    0.8984    0.7625    0.0004    0.8175
   1.782    0.7192    0.2291    0.8993    0.7634    0.0002    0.8184
   1.836    0.7198    0.2293    0.8998    0.7642    0.0000    0.8192
   1.890    0.7200    0.2295    0.9000    0.7650    0.0000    0.8200
   1.944    0.7200    0.2298    0.9000    0.7659    0.0000    0.8209
   1.998    0.7199    0.2301    0.9000    0.7668    0.0001    0.8218
   2.052    0.7198    0.2305    0.9000    0.7679    0.0001    0.8229
   2.106    0.7196    0.2309    0.9000    0.7690    0.0003    0.8240
   2.160    0.7193    0.2313    0.9000    0.7702    0.0004    0.8252
   2.214    0.7190    0.2318    0.9000    0.7715    0.0006    0.8265
   2.268    0.7187    0.2324    0.9000    0.7729    0.0007    0.8279
   2.322    0.7183    0.2330    0.9000    0.7743    0.0010    0.8293
   2.376    0.7179    0.2336    0.9000    0.7758    0.0012    0.8308
   2.430    0.7174    0.2342    0.9000    0.7774    0.0015    0.8324
   2.484    0.7169    0.2349    0.9000    0.7789    0.0017    0.8339
   2.538    0.7164    0.2356    0.9000    0.7806    0.0020    0.8356
   2.592    0.7158    0.2363    0.9000    0.7822    0.0024    0.8372
   2.646    0.7152    0.2371    0.9000    0.7839    0.0027    0.8389
   2.700    0.7146    0.2378    0.9000    0.7856    0.0031    0.8406
   2.754    0.7139    0.2386    0.9000    0.7874    0.0034    0.8424
   2.808    0.7132    0.2394    0.9000    0.7891    0.0038    0.8441
   2.862    0.7124    0.2402    0.8999    0.7909    0.0042    0.8459
   2.916    0.7111    0.2412    0.8995    0.7927    0.0048    0.8477
   2.970    0.7094    0.2422    0.8987    0.7946    0.0055    0.8496
